Home,Away,HomeScore,AwayScore,Round,Date
Crvena zvezda,Olympiacos,87,73,15,13.12. 21:30
Anadolu Efes,Panathinaikos,93,67,15,13.12. 19:30
Bayern,Maccabi Tel Aviv,98,93,15,12.12. 21:45
Real Madrid,Zalgiris Kaunas,83,92,15,12.12. 21:45
Baskonia,Virtus Bologna,81,82,15,12.12. 21:30
Alba Berlin,Partizan,90,91,15,12.12. 20:00
Fenerbahce,Monaco,69,99,15,12.12. 19:45
Olimpia Milano,Lyon-Villeurbanne,92,84,14,06.12. 21:45
Virtus Bologna,Crvena zvezda,87,94,14,06.12. 21:30
Olympiacos,Paris,90,96,14,06.12. 21:15
Monaco,Alba Berlin,100,80,14,06.12. 20:00
Real Madrid,Fenerbahce,70,82,14,05.12. 21:45
Bayern,Baskonia,94,80,14,05.12. 21:30
Partizan,Panathinaikos,91,73,14,05.12. 21:30
Maccabi Tel Aviv,Barcelona,86,88,14,05.12. 21:05
Zalgiris Kaunas,Anadolu Efes,85,72,14,05.12. 20:00
Virtus Bologna,Alba Berlin,88,90,13,04.12. 21:45 AOT
Olimpia Milano,Crvena zvezda,101,86,13,04.12. 21:30
Monaco,Olympiacos,80,89,13,04.12. 20:00
Baskonia,Fenerbahce,88,76,13,03.12. 21:30
Partizan,Zalgiris Kaunas,84,78,13,03.12. 21:30
Panathinaikos,Barcelona,90,89,13,03.12. 21:15
Maccabi Tel Aviv,Paris,81,93,13,03.12. 21:05
Lyon-Villeurbanne,Real Madrid,80,78,13,03.12. 21:00
Anadolu Efes,Bayern,101,90,13,03.12. 19:30
Lyon-Villeurbanne,Anadolu Efes,97,82,12,29.11. 22:00
Panathinaikos,Monaco,88,91,12,29.11. 21:15
Crvena zvezda,Bayern,101,77,12,29.11. 21:00
Fenerbahce,Olimpia Milano,85,91,12,29.11. 19:45
Barcelona,Real Madrid,90,97,12,28.11. 21:45 AOT
Paris,Virtus Bologna,81,78,12,28.11. 21:30
Partizan,Olympiacos,78,70,12,28.11. 21:30
Alba Berlin,Maccabi Tel Aviv,85,103,12,28.11. 21:00
Zalgiris Kaunas,Baskonia,70,83,12,28.11. 20:00
Bayern,Barcelona,100,78,11,22.11. 21:30
Zalgiris Kaunas,Panathinaikos,84,77,11,22.11. 20:00
Real Madrid,Alba Berlin,98,84,11,21.11. 21:45
Olimpia Milano,Maccabi Tel Aviv,98,86,11,21.11. 21:30
Olympiacos,Baskonia,92,69,11,21.11. 21:15
Crvena zvezda,Partizan,77,89,11,21.11. 21:00
Monaco,Lyon-Villeurbanne,103,92,11,21.11. 20:00
Anadolu Efes,Paris,84,93,11,21.11. 19:30
Virtus Bologna,Fenerbahce,82,86,11,20.11. 21:30
